n,lang,test,time
45000,py,testProd,0.002105712890625
45000,c,testSum,0.000045
45000,java,testSum,0.002189
45000,js,testSum,0.773083
45000,php,testSum,0.00094389915466309
45000,py,testSum,0.0021004676818847656
50000,c,testCmp,0.000055
50000,java,testCmp,0.002572
50000,js,testCmp,0.862056
50000,php,testCmp,0.0012128353118896
50000,py,testCmp,0.003642559051513672
50000,c,testDiv,0.000047
50000,java,testDiv,0.002336
50000,js,testDiv,0.984715
50000,php,testDiv,0.0011951923370361
50000,py,testDiv,0.0020956993103027344
50000,c,testMinus,0.000071
50000,java,testMinus,0.002516
50000,js,testMinus,0.00323
50000,php,testMinus,0.0011260509490967
50000,py,testMinus,0.00231170654296875
50000,c,testProd,0.000086
50000,java,testProd,0.002773
50000,js,testProd,2.350521
50000,php,testProd,0.0010068416595459
50000,py,testProd,0.0023462772369384766
50000,c,testSum,0.000053
50000,java,testSum,0.002746
50000,js,testSum,0.951877
50000,php,testSum,0.0011680126190186
50000,py,testSum,0.002187967300415039
55000,c,testCmp,0.000062
55000,java,testCmp,0.001662
55000,js,testCmp,0.994649
55000,php,testCmp,0.0014140605926514
55000,py,testCmp,0.0026488304138183594
55000,c,testDiv,0.000063
55000,java,testDiv,0.001985
55000,js,testDiv,1.707492
55000,php,testDiv,0.0013980865478516
55000,py,testDiv,0.0026450157165527344
55000,c,testMinus,0.000104
55000,java,testMinus,0.001916
55000,js,testMinus,0.003367
55000,php,testMinus,0.0011959075927734
55000,py,testMinus,0.0024738311767578125
55000,c,testProd,0.000118
55000,java,testProd,0.001946
55000,js,testProd,1.254173
55000,php,testProd,0.0013201236724854
55000,py,testProd,0.002507448196411133
55000,c,testSum,0.000059
55000,java,testSum,0.001894
55000,js,testSum,1.16592
55000,php,testSum,0.0011160373687744
55000,py,testSum,0.002722024917602539
60000,c,testCmp,0.000067
60000,java,testCmp,0.001739
60000,js,testCmp,1.254123
60000,php,testCmp,0.0013599395751953
60000,py,testCmp,0.0029468536376953125
60000,c,testDiv,0.000069
60000,java,testDiv,0.002512
60000,js,testDiv,1.233083
60000,php,testDiv,0.0013260841369629
60000,py,testDiv,0.0025920867919921875
60000,c,testMinus,0.000057
60000,java,testMinus,0.002467
60000,js,testMinus,0.004105
60000,php,testMinus,0.0012619495391846
60000,py,testMinus,0.002833127975463867
60000,c,testProd,0.000057
60000,java,testProd,0.001883
60000,js,testProd,1.915321
60000,php,testProd,0.0014388561248779
60000,py,testProd,0.0026602745056152344
60000,c,testSum,0.000065
60000,java,testSum,0.001891
60000,js,testSum,1.295029
60000,php,testSum,0.0014100074768066
60000,py,testSum,0.0025491714477539062
65000,c,testCmp,0.000065
65000,java,testCmp,0.000876
65000,js,testCmp,1.202913
65000,php,testCmp,0.0015318393707275
65000,py,testCmp,0.0029337406158447266
65000,c,testDiv,0.000070
65000,java,testDiv,0.000697
65000,js,testDiv,2.048849
65000,php,testDiv,0.0014579296112061
65000,py,testDiv,0.0027921199798583984
65000,c,testMinus,0.000066
65000,java,testMinus,0.000420
65000,js,testMinus,0.00348
65000,php,testMinus,0.0016410350799561
65000,py,testMinus,0.002740621566772461
65000,c,testProd,0.000068
65000,java,testProd,0.000511
65000,js,testProd,1.398442
65000,php,testProd,0.0013961791992188
65000,py,testProd,0.0030794143676757812
65000,c,testSum,0.000075
65000,java,testSum,0.000485
65000,js,testSum,1.490298
65000,php,testSum,0.0018060207366943
65000,py,testSum,0.0029306411743164062
70000,c,testCmp,0.000069
70000,java,testCmp,0.001050
70000,js,testCmp,1.257717
70000,php,testCmp,0.0017020702362061
70000,py,testCmp,0.003187894821166992
70000,c,testDiv,0.000081
70000,java,testDiv,0.000493
70000,js,testDiv,1.373411
