n,lang,test,time
55000,js,testLen,0.975343
55000,php,testLen,0.002349853515625
55000,py,testLen,0.0026803016662597656
60000,c,testCat,0.000497
60000,java,testCat,0.047484
60000,js,testCat,1.788559
60000,php,testCat,0.0024170875549316
60000,py,testCat,0.003902435302734375
60000,c,testCmp,0.000124
60000,java,testCmp,0.005787
60000,js,testCmp,1.170647
60000,php,testCmp,0.00164794921875
60000,py,testCmp,0.0021865367889404297
60000,c,testCpy,0.000561
60000,java,testCpy,0.001516
60000,js,testCpy,2.040706
60000,php,testCpy,0.0023460388183594
60000,py,testCpy,0.0011208057403564453
60000,c,testLen,0.000178
60000,java,testLen,0.004682
60000,js,testLen,0.929652
60000,php,testLen,0.0024688243865967
60000,py,testLen,0.0021822452545166016
65000,c,testCat,0.000777
65000,java,testCat,0.041304
65000,js,testCat,1.832399
65000,php,testCat,0.0043041706085205
65000,py,testCat,0.004198789596557617
65000,c,testCmp,0.000145
65000,java,testCmp,0.001425
65000,js,testCmp,1.172805
65000,php,testCmp,0.0017740726470947
65000,py,testCmp,0.002307891845703125
65000,c,testCpy,0.000571
65000,java,testCpy,0.000183
65000,js,testCpy,1.282566
65000,php,testCpy,0.0024528503417969
65000,py,testCpy,0.0008435249328613281
65000,c,testLen,0.000514
65000,java,testLen,0.000901
65000,js,testLen,0.97356
65000,php,testLen,0.0025949478149414
65000,py,testLen,0.002878904342651367
70000,c,testCat,0.000450
70000,java,testCat,0.047029
70000,js,testCat,2.471718
70000,php,testCat,0.0026390552520752
70000,py,testCat,0.0047512054443359375
70000,c,testCmp,0.000159
70000,java,testCmp,0.001622
70000,js,testCmp,1.145377
70000,php,testCmp,0.0018770694732666
70000,py,testCmp,0.0026285648345947266
70000,c,testCpy,0.001042
70000,java,testCpy,0.000335
70000,js,testCpy,1.20629
70000,php,testCpy,0.002377986907959
70000,py,testCpy,0.0009090900421142578
70000,c,testLen,0.000234
70000,java,testLen,0.001513
70000,js,testLen,1.073758
70000,php,testLen,0.0028610229492188
70000,py,testLen,0.0028247833251953125
75000,c,testCat,0.000460
75000,java,testCat,0.034990
75000,js,testCat,3.282292
75000,php,testCat,0.0051121711730957
75000,py,testCat,0.005648136138916016
75000,c,testCmp,0.000189
75000,java,testCmp,0.001901
75000,js,testCmp,1.455647
75000,php,testCmp,0.0020060539245605
75000,py,testCmp,0.003027677536010742
75000,c,testCpy,0.000701
75000,java,testCpy,0.000218
75000,js,testCpy,1.394441
75000,php,testCpy,0.0027310848236084
75000,py,testCpy,0.0015444755554199219
75000,c,testLen,0.000262
75000,java,testLen,0.001345
75000,js,testLen,1.107323
75000,php,testLen,0.0030958652496338
75000,py,testLen,0.00278472900390625
80000,c,testCat,0.000612
80000,java,testCat,0.050698
80000,js,testCat,2.965179
80000,php,testCat,0.0030269622802734
